# SEQ	Class	Imp	Imp_val	g0	g1	v0	v2	v3	v4	v5	v6	v7	v8	v9	v10		
1	3-2	高	3	2.4	-0.2	0.77	1	-0.75	0.75	-0.23	0.2	0.2	-0.8	-0.23	0.77
2	2-3	中	2	0.9	-0.4	0.9	0	-0.9	0.9	-0.9	0	0	-0.9	-0.45	0.45
3	2-7	中	2	0	0	0	0	0	0	0	0	0	0	0	0
4	1-3	高	3	0.8	-0.2	0.35	0	-0.35	0.35	-0.35	0	0	-0.6	-0.23	0.23
5	2-3	中	2	1.7	-0.8	0.8	0	-0.8	0.8	-0.8	0	0	-0.9	-0.8	0.8
6	1-4	高	3	0.9	-0.9	0.9	0	-0.9	0.9	-0.9	0	0	-0.9	-0.9	0.9
7	2-7	高	3	0.9	-0.9	0.9	0	-0.9	0.9	-0.9	0	0	-0.9	-0.9	0.9
8	2-7	高	3	0.9	-0.9	0.9	0	-0.9	0.9	-0.9	0	0	-0.9	-0.9	0.9
9	2-4	高	3	4.3	-0.6	0.56	0	-0.56	0.56	-0.56	0	0	-0.9	-0.56	0.56
10	2-3	高	3	0.7	-0.7	0.7	0	-0.7	0.7	-0.7	0	0	-0.7	-0.7	0.7
11	2-4	高	3	1.2	-0.6	0.55	0	-0.55	0.55	-0.55	0	0	-0.9	-0.55	0.55
12	1-4	中	2	1.9	-0.4	0.6	0	-0.6	0.6	-0.6	0	0	-0.8	-0.45	0.45
13	1-2	高	3	3.1	-0.4	0.54	0	-0.54	0.54	-0.54	0	0	-0.8	-0.39	0.39
14	2-4	高	3	1.8	-0.2	0.57	1	-0.6	0.6	-0.23	13.5	13.5	-0.9	-0.23	0.57
15	1-4	高	3	0.6	-0.3	0.3	0	-0.3	0.3	-0.3	0	0	-0.4	-0.3	0.3
16	2-3	低	1	2.1	0	0.32	2	-0.22	0.22	0.02	15.5	15.5	-0.3	0.02	0.32
17	1-2	中	2	0.6	-0.6	0.6	0	-0.6	0.6	-0.6	0	0	-0.6	-0.6	0.6
18	1-2	高	3	0.6	-0.6	0.6	0	-0.6	0.6	-0.6	0	0	-0.6	-0.6	0.6
19	1-4	高	3	0.6	-0.6	0.6	0	-0.6	0.6	-0.6	0	0	-0.6	-0.6	0.6
20	2-1	中	2	0.8	-0.8	0.8	0	-0.8	0.8	-0.8	0	0	-0.8	-0.8	0.8
21	3-5	中	2	1.5	-0.4	0.5	1	-0.7	0.7	-0.43	20.9	20.9	-0.8	-0.43	0.5
22	1-4	中	2	1.6	-0.3	0.35	1	-0.43	0.43	-0.3	21.9	21.9	-0.6	-0.3	0.35
23	1-6	高	3	0.5	-0.2	0.5	0	-0.5	0.5	-0.5	0	0	-0.5	-0.25	0.25
24	2-7	中	2	0.5	-0.5	0.5	0	-0.5	0.5	-0.5	0	0	-0.5	-0.5	0.5
25	1-2	中	2	1.5	-0.5	0.5	0	-0.5	0.5	-0.5	0	0	-0.9	-0.5	0.5
26	1-7	中	2	2.3	-0.7	0.73	0	-0.73	0.73	-0.73	0	0	-0.8	-0.73	0.73
27	1-4	低	1	0	0	0	0	0	0	0	0	0	0	0	0
28	1-4	中	2	0.1	0	0.1	1	0	0	0.1	27.9	27.9	0	0.05	0.05
29	1-2	高	3	1.1	-0.5	0.55	0	-0.55	0.55	-0.55	0	0	-0.6	-0.55	0.55
30	2-7	中	2	1	-0.1	0.3	1	-0.35	0.35	-0.17	29.8	29.8	-0.4	-0.17	0.3
31	1-4	高	3	1.1	-0.2	0.55	1	-0.8	0.8	-0.25	30.7	30.7	-0.8	-0.25	0.55
32	1-4	高	3	3.9	-0.6	0.6	0	-0.6	0.6	-0.6	0	0	-0.8	-0.6	0.6
33	1-4	高	3	2.5	-0.2	0.46	1	-0.42	0.42	-0.22	32.4	32.4	-0.8	-0.22	0.46
34	1-4	高	3	4.3	-0.3	0.51	3	-0.68	0.68	-0.34	33.77	33.77	-0.9	-0.34	0.51
