# SEQ	Class	Imp	Imp_val	c_pos	m_avg_nzr	s_avg_nzr	s_avg_neg	m_avg_neg	m_sum_pos	s_min	s_sdv_pos	m_sdv_pos	s_avg_all
1	3-2	高	3	0	0.75	-0.75	-0.75	0.75	0.00	-0.80	0.00	0.00	-0.75
2	2-3	中	2	0	0.90	-0.90	-0.90	0.90	0.00	-0.90	0.00	0.00	-0.45
3	2-7	中	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4	1-3	高	3	0	0.35	-0.35	-0.35	0.35	0.00	-0.60	0.00	0.00	-0.35
5	2-3	中	2	0	0.80	-0.80	-0.80	0.80	0.00	-0.90	0.00	0.00	-0.80
6	1-4	高	3	0	0.90	-0.90	-0.90	0.90	0.00	-0.90	0.00	0.00	-0.90
7	2-7	高	3	0	0.90	-0.90	-0.90	0.90	0.00	-0.90	0.00	0.00	-0.90
8	2-7	高	3	0	0.90	-0.90	-0.90	0.90	0.00	-0.90	0.00	0.00	-0.90
9	2-4	高	3	0	0.56	-0.56	-0.56	0.56	0.00	-0.90	0.00	0.00	-0.56
10	2-3	高	3	0	0.70	-0.70	-0.70	0.70	0.00	-0.70	0.00	0.00	-0.70
11	2-4	高	3	0	0.55	-0.55	-0.55	0.55	0.00	-0.90	0.00	0.00	-0.55
12	1-4	中	2	0	0.60	-0.60	-0.60	0.60	0.00	-0.80	0.00	0.00	-0.60
13	1-2	高	3	0	0.62	-0.62	-0.62	0.62	0.00	-0.80	0.00	0.00	-0.42
14	2-4	高	3	1	0.57	-0.23	-0.60	0.60	0.50	-0.90	13.50	13.50	-0.23
15	1-4	高	3	0	0.30	-0.30	-0.30	0.30	0.00	-0.40	0.00	0.00	-0.30
16	2-3	低	1	2	0.32	0.02	-0.22	0.22	1.00	-0.30	15.50	15.50	0.02
17	1-2	中	2	0	0.60	-0.60	-0.60	0.60	0.00	-0.60	0.00	0.00	-0.60
18	1-2	高	3	0	0.60	-0.60	-0.60	0.60	0.00	-0.60	0.00	0.00	-0.60
19	1-4	高	3	0	0.60	-0.60	-0.60	0.60	0.00	-0.60	0.00	0.00	-0.60
20	2-1	中	2	0	0.80	-0.80	-0.80	0.80	0.00	-0.80	0.00	0.00	-0.80
21	3-5	中	2	0	0.70	-0.70	-0.70	0.70	0.00	-0.80	0.00	0.00	-0.70
22	1-4	中	2	1	0.35	-0.30	-0.43	0.43	0.10	-0.60	21.90	21.90	-0.30
23	1-6	高	3	0	0.50	-0.50	-0.50	0.50	0.00	-0.50	0.00	0.00	-0.25
24	2-7	中	2	0	0.50	-0.50	-0.50	0.50	0.00	-0.50	0.00	0.00	-0.50
25	1-2	中	2	0	0.50	-0.50	-0.50	0.50	0.00	-0.90	0.00	0.00	-0.50
26	1-7	中	2	0	0.73	-0.73	-0.73	0.73	0.00	-0.80	0.00	0.00	-0.73
27	1-4	低	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28	1-4	中	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29	1-2	高	3	0	0.55	-0.55	-0.55	0.55	0.00	-0.60	0.00	0.00	-0.55
30	2-7	中	2	1	0.30	-0.17	-0.35	0.35	0.20	-0.40	29.80	29.80	-0.17
31	1-4	高	3	1	0.55	-0.25	-0.80	0.80	0.30	-0.80	30.70	30.70	-0.25
32	1-4	高	3	0	0.60	-0.60	-0.60	0.60	0.00	-0.80	0.00	0.00	-0.60
33	1-4	高	3	1	0.46	-0.22	-0.42	0.42	0.60	-0.80	32.40	32.40	-0.22
34	1-4	高	3	3	0.51	-0.34	-0.68	0.68	0.70	-0.90	33.77	33.77	-0.34
35	1-4	高	3	0	0.43	-0.43	-0.43	0.43	0.00	-0.70	0.00	0.00	-0.33
36	1-9	中	2	0	0.70	-0.70	-0.70	0.70	0.00	-0.80	0.00	0.00	-0.70
37	1-9	中	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38	1-4	高	3	0	0.90	-0.90	-0.90	0.90	0.00	-0.90	0.00	0.00	-0.45
39	1-9	低	1	1	0.57	-0.43	-0.75	0.75	0.20	-0.90	38.80	38.80	-0.43
40	1-9	中	2	0	0.60	-0.60	-0.60	0.60	0.00	-0.80	0.00	0.00	-0.60
41	1-9	低	1	0	0.65	-0.65	-0.65	0.65	0.00	-0.80	0.00	0.00	-0.65
